country,population,gdppc,lifeexp
United Arab Emirates,9.770526,67.1191532453006,77.972
Afghanistan,38.041757,2.0650362349654703,64.833
Antigua and Barbuda,0.097115,21.5487250080262,77.016
Albania,2.854191,13.6714884222978,78.573
Armenia,2.957728,13.653763381286101,75.087
Angola,31.825299,6.67033145836633,61.147
Argentina,44.938712,22.0639043717727,76.667
Austria,8.87992,55.8333156857561,81.7926829268293
Australia,25.365745,49.4555385080697,82.9
Azerbaijan,10.024283,14.4393014032972,73.005
Bosnia and Herzegovina,3.300998,14.8967900391155,77.401
Barbados,0.287021,15.639047844237501,79.19
Bangladesh,163.046173,4.75372659686814,72.591
Belgium,11.48898,51.7358668837633,81.7463414634146
Burkina Faso,20.321383,2.1783228791324,61.577
Bulgaria,6.975761,23.1915745846967,74.9146341463415
Bahrain,1.641164,45.0604237448845,77.292
Burundi,11.530577,0.751664152760383,61.584
Benin,11.801151,3.2873095378225097,61.771
Bermuda,0.063913,81.8042656772398,81.8665853658537
Brunei Darussalam,0.433296,62.0980113423415,75.86
Bolivia,11.513102,8.72447418614251,71.513
Brazil,211.049519,14.759029230157498,75.881
"Bahamas, The",0.389486,37.1003629626189,73.918
Bhutan,0.763094,11.8321582535521,71.777
Botswana,2.303703,17.7768083134036,69.592
Belarus,9.417849,19.2831171477055,74.2268292682927
Belize,0.390351,7.16635247770667,74.623
Canada,37.593384,49.017411473690004,82.0487804878049
"Congo, Dem. Rep.",86.790568,1.0979488401153998,60.681
Central African Republic,4.745179,0.945142042928865,53.283
"Congo, Rep.",5.380504,3.872186021968,64.57
Switzerland,8.57528,68.4742643839534,83.7048780487805
Cote d'Ivoire,25.716554,5.2125540214586,57.783
Chile,18.952035,24.9685059325246,80.181
Cameroon,25.876387,3.6422762729672598,59.292
China,1397.715,16.0923007670491,76.912
Colombia,50.339443,14.5853024908488,77.287
Costa Rica,5.047561,20.105993110679503,80.279
Cabo Verde,0.549936,7.171826423641099,72.981
Cyprus,1.198574,40.2268094909879,80.982
Czech Republic,10.67187,40.981056508643206,79.1292682926829
Germany,83.092962,53.8091412482045,80.9414634146342
Djibouti,0.973557,5.53476617152744,67.112
Denmark,5.814422,57.161686389341796,81.2024390243903
Dominican Republic,10.738957,18.412899987758,74.081
Algeria,43.053054,11.5105570882584,76.88
Ecuador,17.373657,11.370603299072,77.01
Estonia,1.326898,36.4367879151632,78.4975609756098
"Egypt, Arab Rep.",100.388076,11.7632532849551,71.99
Spain,47.133521,40.8036269757506,83.4853658536585
Ethiopia,112.078727,2.22140466452958,66.597
Finland,5.521606,48.5625253662522,81.7853658536586
Fiji,0.889955,13.6843608072876,67.444
"Micronesia, Fed. Sts.",0.113811,3.46641329281782,67.883
France,67.248926,46.0177659610004,82.5780487804878
Gabon,2.172578,14.9500770784889,66.467
United Kingdom,66.836327,46.406461748348406,81.2048780487805
Grenada,0.112002,17.0502930413479,72.397
Georgia,3.720161,14.9892581602038,73.767
Ghana,30.417858,5.41089085756427,64.074
"Gambia, The",2.347696,2.2228795901335703,62.05
Guinea,12.771246,2.5670339869643697,61.602
Equatorial Guinea,1.355982,18.502563964039098,58.735
Greece,10.721582,29.7232219580446,81.9390243902439
Guatemala,16.604026,8.64826242597849,74.302
Guinea-Bissau,1.920917,1.9392895096348,58.322
Guyana,0.782775,13.0822026194464,69.906
Honduras,9.746115,5.7361816333061295,75.27
